"location_id";"date";"V1";"location_name";"allbed_mean";"allbed_upper";"allbed_lower";"ICUbed_mean";"ICUbed_upper";"ICUbed_lower";"InvVen_mean";"InvVen_upper";"InvVen_lower";"admis_mean";"admis_upper";"admis_lower";"newICU_mean";"newICU_upper";"newICU_lower";"bedover_mean";"bedover_upper";"bedover_lower";"icuover_mean";"icuover_upper";"icuover_lower";"hosp_data_type";"deaths_data_type";"deaths_mean";"deaths_lower";"deaths_upper";"totdea_mean";"totdea_lower";"totdea_upper";"deaths_mean_smoothed";"deaths_lower_smoothed";"deaths_upper_smoothed";"totdea_mean_smoothed";"totdea_lower_smoothed";"totdea_upper_smoothed";"mobility_data_type";"mobility_composite";"total_tests_data_type";"total_tests";"confirmed_infections_data_type";"confirmed_infections";"est_infections_data_type";"est_infections_mean";"est_infections_lower";"est_infections_upper";"total_pop";"deaths_mean_p100k_rate";"deaths_lower_p100k_rate";"deaths_upper_p100k_rate";"totdea_mean_p100k_rate";"totdea_lower_p100k_rate";"totdea_upper_p100k_rate";"deaths_mean_smoothed_p100k_rate";"deaths_lower_smoothed_p100k_rate";"deaths_upper_smoothed_p100k_rate";"totdea_mean_smoothed_p100k_rate";"totdea_lower_smoothed_p100k_rate";"totdea_upper_smoothed_p100k_rate";"confirmed_infections_p100k_rate";"est_infections_mean_p100k_rate";"est_infections_lower_p100k_rate";"est_infections_upper_p100k_rate";"inf_cuml_mean";"inf_cuml_upper";"inf_cuml_lower";"seroprev_mean";"seroprev_upper";"seroprev_lower";"seroprev_data_type"
92;"2020-02-14";177337;"Spain";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"289.924825214886";"225.10625524018";"388.363880976701";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"0.62998077729551";"0.489135808032933";"0.843880062460554";"737.709748404261";"1027.07095583582";"562.257216815878";;;;
92;"2020-02-15";177338;"Spain";0;0;0;0;0;0;0;0;0;"0.09099426";"0.1948876";"0.04628633";0;0;0;9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"409.245309405991";"324.177627765106";"536.032358474465";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"0.889253543338483";"0.704409061107163";"1.16475048867237";"1146.95505781025";"1563.10331431028";"886.434844580984";;;;
92;"2020-02-16";177339;"Spain";0;0;0;0;0;0;0;0;0;"0.2774939";"0.5615491";"0.1585373";0;0;0;9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"578.241105043064";"453.329660761283";"749.504518727635";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"1.25646632898458";"0.985044905505524";"1.62860644632473";"1725.19616285332";"2312.60783303792";"1339.76450534227";;;;
92;"2020-02-17";177340;"Spain";0;0;0;0;0;0;0;0;0;"0.5202174";"0.9727348";"0.3425856";0;0;0;9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"956.055177005643";"742.982826499052";"1274.14293118175";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"2.07742259774065";"1.61443539099547";"2.76859890689432";"2681.25133985896";"3586.75076421967";"2082.74733184132";;;;
92;"2020-02-18";177341;"Spain";0;0;0;0;0;0;0;0;0;"0.914546";"1.5997";"0.6476047";"0.02729828";"0.05846629";"0.0138859";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"1320.43322528954";"1037.80472386027";"1724.06630141513";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"2.86918358584221";"2.25505706913461";"3.74624224700139";"4001.6845651485";"5310.8170656348";"3120.55205570159";;;;
92;"2020-02-19";177342;"Spain";0;0;0;0;0;0;0;0;0;"1.617474";"2.664649";"1.09525";"0.08324817";"0.1684647";"0.0475612";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"1794.94197161565";"1398.61889191797";"2307.82682501604";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"3.90024875462339";"3.03907406348392";"5.01470178005435";"5796.62653676415";"7618.64389065084";"4519.17094761956";;;;
92;"2020-02-20";177343;"Spain";0;0;0;0;0;0;0;0;0;"2.942093";"4.433984";"1.956411";"0.1560652";"0.2918204";"0.1027757";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"2450.88455043174";"1885.26209765725";"3105.2868235032";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"5.32555345337592";"4.09650632989982";"6.74751120517571";"8247.51108719589";"10723.930714154";"6404.43304527681";;;;
92;"2020-02-21";177344;"Spain";0;0;0;0;0;0;0;0;0;"62.27569";"141.2938";"28.06003";"0.2743638";"0.47991";"0.1942814";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"3232.99504342341";"2426.2160144446";"4077.05882808384";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"7.025009772581";"5.27195092567101";"8.85908506693791";"11480.5061306193";"14800.9895422379";"8830.64905972141";;;;
92;"2020-02-22";177345;"Spain";0;0;0;0;0;0;0;0;0;"77.29853";"141.3789";"41.08186";"0.4852421";"0.7993947";"0.328575";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"4401.77300329158";"3358.92824339766";"5523.33288528095";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"9.56465999776566";"7.29865138001592";"12.0017095526475";"15882.2791339109";"20324.3224275188";"12189.5773031191";;;;
92;"2020-02-23";177346;"Spain";0;0;0;0;0;0;0;0;0;"97.23804";"160.5449";"57.25546";"0.8826278";"1.330195";"0.5869233";9999;9999;9999;9999;9999;9999;"observed";"observed";0;0;0;48;48;48;0;0;0;0;0;0;"observed";0;;;"observed";0;"projected";"5659.21390108038";"4303.55092103307";"6985.58813091365";"46021217.7361228";0;0;0;"0.104299717306967";"0.104299717306967";"0.104299717306967";0;0;0;0;0;0;0;"12.2969668762988";"9.35123217666433";"15.1790597349417";"21541.4930349913";"27309.9105584325";"16493.1282241521";;;;
