"Año";"Periodo";"Casos diarios (valores negativos se deben a ajustes de Sanidad o las CCAA en la serie histórica)"
"2021";"Día 9 de marzo";"1.255"
"2021";"Día 10 de marzo";"1.474"
"2021";"Día 11 de marzo";"1.457"
"2021";"Día 12 de marzo";"1.276"
"2021";"Día 15 de marzo";"2.248"
"2021";"Día 16 de marzo";"1.335"
"2021";"Día 17 de marzo";"1.578"
"2021";"Día 18 de marzo";"1.498"
"2021";"Día 22 de marzo";"2.977"
"2021";"Día 23 de marzo";"1.547"
"2021";"Día 24 de marzo";"1.867"
"2021";"Día 25 de marzo";"1.843"
"2021";"Día 26 de marzo";"1.675"
"2021";"Día 29 de marzo";"3.196"
"2021";"Día 30 de marzo";"1.781"
"2021";"Día 31 de marzo";"2.078"
"2021";"Día 1 de abril";"2.527"
"2021";"Día 3 de abril";"1.338"
"2021";"Día 5 de abril";"902"
"2021";"Día 6 de abril";"2.533"
"2021";"Día 7 de abril";"2.946"
"2021";"Día 8 de abril";"2.764"
;;
;;
"Métrica":"Casos diarios (valores negativos se deben a ajustes de Sanidad o las CCAA en la serie histórica)"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de casos en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-nuevos-casos-diarios-coronavirus-lugar/29516c77-99da-4cdd-a63a-ce3e7c5ae259/madrid/304"
"Titulo":"Evolución de casos de coronavirus notificados cada día en Comunidad de Madrid"
"Subtitulo":""
