"Año";"Periodo";"Fallecidos"
"2020";"Día 10 de septiembre";"9.076"
"2020";"Día 11 de septiembre";"9.099"
"2020";"Día 12 de septiembre";"9.132"
"2020";"Día 13 de septiembre";"9.161"
"2020";"Día 14 de septiembre";"9.183"
"2020";"Día 15 de septiembre";"9.213"
"2020";"Día 16 de septiembre";"9.241"
"2020";"Día 17 de septiembre";"9.272"
"2020";"Día 18 de septiembre";"9.308"
"2020";"Día 19 de septiembre";"9.350"
"2020";"Día 20 de septiembre";"9.382"
"2020";"Día 21 de septiembre";"9.417"
"2020";"Día 22 de septiembre";"9.454"
"2020";"Día 23 de septiembre";"9.489"
"2020";"Día 24 de septiembre";"9.537"
"2020";"Día 25 de septiembre";"9.574"
"2020";"Día 26 de septiembre";"9.617"
"2020";"Día 27 de septiembre";"9.649"
"2020";"Día 28 de septiembre";"9.693"
"2020";"Día 29 de septiembre";"9.738"
"2020";"Día 30 de septiembre";"9.788"
"2020";"Día 1 de octubre";"9.818"
"2020";"Día 2 de octubre";"9.860"
"2020";"Día 3 de octubre";"9.890"
"2020";"Día 4 de octubre";"9.911"
"2020";"Día 5 de octubre";"9.953"
"2020";"Día 6 de octubre";"9.992"
"2020";"Día 7 de octubre";"10.027"
"2020";"Día 8 de octubre";"10.065"
"2020";"Día 9 de octubre";"10.105"
"2020";"Día 10 de octubre";"10.136"
"2020";"Día 11 de octubre";"10.161"
"2020";"Día 12 de octubre";"10.187"
"2020";"Día 13 de octubre";"10.220"
"2020";"Día 14 de octubre";"10.255"
"2020";"Día 15 de octubre";"10.285"
"2020";"Día 16 de octubre";"10.312"
"2020";"Día 17 de octubre";"10.319"
"2020";"Día 18 de octubre";"10.344"
"2020";"Día 19 de octubre";"10.378"
"2020";"Día 20 de octubre";"10.416"
"2020";"Día 21 de octubre";"10.448"
"2020";"Día 22 de octubre";"10.480"
"2020";"Día 23 de octubre";"10.514"
"2020";"Día 24 de octubre";"10.535"
"2020";"Día 25 de octubre";"10.563"
"2020";"Día 26 de octubre";"10.603"
"2020";"Día 27 de octubre";"10.633"
"2020";"Día 28 de octubre";"10.664"
"2020";"Día 29 de octubre";"10.705"
"2020";"Día 30 de octubre";"10.717"
"2020";"Día 31 de octubre";"10.744"
"2020";"Día 1 de noviembre";"10.771"
"2020";"Día 2 de noviembre";"10.795"
"2020";"Día 3 de noviembre";"10.831"
"2020";"Día 4 de noviembre";"10.868"
"2020";"Día 5 de noviembre";"10.902"
"2020";"Día 6 de noviembre";"10.929"
"2020";"Día 7 de noviembre";"10.946"
"2020";"Día 8 de noviembre";"10.969"
"2020";"Día 9 de noviembre";"10.985"
"2020";"Día 10 de noviembre";"11.017"
"2020";"Día 11 de noviembre";"11.046"
"2020";"Día 12 de noviembre";"11.067"
"2020";"Día 13 de noviembre";"11.090"
"2020";"Día 14 de noviembre";"11.115"
"2020";"Día 15 de noviembre";"11.135"
"2020";"Día 16 de noviembre";"11.162"
"2020";"Día 17 de noviembre";"11.184"
"2020";"Día 18 de noviembre";"11.199"
"2020";"Día 19 de noviembre";"11.226"
"2020";"Día 20 de noviembre";"11.255"
"2020";"Día 21 de noviembre";"11.261"
"2020";"Día 22 de noviembre";"11.266"
"2020";"Día 23 de noviembre";"11.274"
"2020";"Día 24 de noviembre";"11.277"
"2020";"Día 25 de noviembre";"11.289"
"2020";"Día 26 de noviembre";"11.308"
"2020";"Día 27 de noviembre";"11.314"
"2020";"Día 28 de noviembre";"11.320"
"2020";"Día 29 de noviembre";"11.332"
"2020";"Día 30 de noviembre";"11.334"
"2020";"Día 1 de diciembre";"11.336"
"2020";"Día 2 de diciembre";"11.336"
"2020";"Día 3 de diciembre";"11.413"
"2020";"Día 4 de diciembre";"11.426"
"2020";"Día 7 de diciembre";"11.445"
"2020";"Día 9 de diciembre";"11.449"
"2020";"Día 10 de diciembre";"11.497"
"2020";"Día 11 de diciembre";"11.537"
"2020";"Día 14 de diciembre";"11.556"
"2020";"Día 15 de diciembre";"11.590"
"2020";"Día 16 de diciembre";"11.619"
"2020";"Día 17 de diciembre";"11.635"
"2020";"Día 18 de diciembre";"11.637"
"2020";"Día 21 de diciembre";"11.660"
"2020";"Día 22 de diciembre";"11.680"
"2020";"Día 23 de diciembre";"11.683"
"2020";"Día 24 de diciembre";"11.687"
"2020";"Día 28 de diciembre";"11.692"
"2020";"Día 29 de diciembre";"11.753"
"2020";"Día 30 de diciembre";"11.827"
"2020";"Día 31 de diciembre";"11.828"
"2021";"Día 4 de enero";"11.834"
"2021";"Día 5 de enero";"11.888"
"2021";"Día 7 de enero";"11.953"
"2021";"Día 8 de enero";"11.971"
"2021";"Día 11 de enero";"11.996"
"2021";"Día 12 de enero";"12.001"
"2021";"Día 13 de enero";"12.006"
"2021";"Día 14 de enero";"12.020"
"2021";"Día 15 de enero";"12.040"
"2021";"Día 18 de enero";"12.054"
"2021";"Día 19 de enero";"12.100"
"2021";"Día 20 de enero";"12.149"
"2021";"Día 21 de enero";"12.210"
"2021";"Día 22 de enero";"12.266"
"2021";"Día 25 de enero";"12.372"
"2021";"Día 26 de enero";"12.425"
"2021";"Día 27 de enero";"12.479"
"2021";"Día 28 de enero";"12.535"
"2021";"Día 29 de enero";"12.578"
"2021";"Día 1 de febrero";"12.610"
"2021";"Día 2 de febrero";"12.669"
"2021";"Día 3 de febrero";"12.741"
"2021";"Día 4 de febrero";"12.804"
"2021";"Día 5 de febrero";"12.833"
"2021";"Día 8 de febrero";"12.924"
"2021";"Día 9 de febrero";"13.025"
"2021";"Día 10 de febrero";"13.080"
"2021";"Día 11 de febrero";"13.179"
"2021";"Día 12 de febrero";"13.255"
"2021";"Día 15 de febrero";"13.310"
"2021";"Día 16 de febrero";"13.381"
"2021";"Día 17 de febrero";"13.408"
"2021";"Día 18 de febrero";"13.461"
"2021";"Día 19 de febrero";"13.538"
"2021";"Día 22 de febrero";"13.631"
"2021";"Día 23 de febrero";"13.662"
"2021";"Día 24 de febrero";"13.713"
"2021";"Día 25 de febrero";"13.793"
"2021";"Día 26 de febrero";"13.842"
"2021";"Día 1 de marzo";"13.874"
"2021";"Día 2 de marzo";"13.945"
"2021";"Día 3 de marzo";"14.015"
"2021";"Día 4 de marzo";"14.068"
"2021";"Día 5 de marzo";"14.104"
"2021";"Día 8 de marzo";"14.123"
"2021";"Día 9 de marzo";"14.211"
"2021";"Día 10 de marzo";"14.250"
"2021";"Día 11 de marzo";"14.278"
"2021";"Día 12 de marzo";"14.313"
"2021";"Día 15 de marzo";"14.337"
"2021";"Día 16 de marzo";"14.354"
"2021";"Día 17 de marzo";"14.388"
"2021";"Día 18 de marzo";"14.412"
"2021";"Día 22 de marzo";"14.431"
"2021";"Día 23 de marzo";"14.469"
"2021";"Día 24 de marzo";"14.493"
"2021";"Día 25 de marzo";"14.496"
"2021";"Día 26 de marzo";"14.496"
"2021";"Día 29 de marzo";"14.512"
"2021";"Día 30 de marzo";"14.548"
"2021";"Día 31 de marzo";"14.564"
"2021";"Día 1 de abril";"14.578"
"2021";"Día 3 de abril";"14.579"
"2021";"Día 5 de abril";"14.579"
"2021";"Día 6 de abril";"14.648"
"2021";"Día 7 de abril";"14.662"
"2021";"Día 8 de abril";"14.689"
;;
;;
"Métrica":"Fallecidos"
"Fuente":"Ministerio de Sanidad, Servicios Sociales e Igualdad"
"Clasificación":""
"Unidad":"Número de fallecidos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-numero-fallecidos/81d9b17a-6b10-40de-a592-981cc548c6f2/madrid/304"
"Titulo":"Evolución de las muertes por coronavirus en Comunidad de Madrid"
"Subtitulo":""
